CLUB,PLAYER,AGE,WEBSITE
Newcastle United,Matthew Longstaff, 19,/Players/382434/Show/Matthew-Longstaff
Newcastle United,Fabian Schär, 27,/Players/82726/Show/Fabian-Schär
Newcastle United,Ciaran Clark, 30,/Players/70099/Show/Ciaran-Clark
Newcastle United,Matt Ritchie, 30,/Players/68648/Show/Matt-Ritchie
Newcastle United,Jamaal Lascelles, 25,/Players/105171/Show/Jamaal-Lascelles
Newcastle United,Jetro Willems, 25,/Players/94885/Show/Jetro-Willems
Newcastle United,Jonjo Shelvey, 27,/Players/40027/Show/Jonjo-Shelvey
Newcastle United,Isaac Hayden, 24,/Players/136356/Show/Isaac-Hayden
Newcastle United,Sean Longstaff, 21,/Players/342811/Show/Sean-Longstaff
Newcastle United,Christian Atsu, 27,/Players/96257/Show/Christian-Atsu
Newcastle United,Paul Dummett, 28,/Players/112009/Show/Paul-Dummett
Newcastle United,Joelinton, 23,/Players/201755/Show/Joelinton
Newcastle United,Allan Saint-Maximin, 22,/Players/135891/Show/Allan-Saint-Maximin
Newcastle United,Javier Manquillo, 25,/Players/109227/Show/Javier-Manquillo
Newcastle United,Martin Dubravka, 30,/Players/46092/Show/Martin-Dubravka
Newcastle United,DeAndre Yedlin, 26,/Players/126958/Show/DeAndre-Yedlin
Newcastle United,Ki Sung-yueng, 30,/Players/42916/Show/Ki-Sung-yueng
Newcastle United,Andy Carroll, 30,/Players/23383/Show/Andy-Carroll
Newcastle United,Miguel Almirón, 25,/Players/303924/Show/Miguel-Almirón
Newcastle United,Federico Fernández, 30,/Players/44847/Show/Federico-Fernández
Newcastle United,Emil Krafth, 25,/Players/100599/Show/Emil-Krafth
Newcastle United,Yoshinori Muto, 27,/Players/132210/Show/Yoshinori-Muto
Newcastle United,Matthew Longstaff, 19,/Players/382434/Show/Matthew-Longstaff
Newcastle United,Fabian Schär, 27,/Players/82726/Show/Fabian-Schär
Newcastle United,Ciaran Clark, 30,/Players/70099/Show/Ciaran-Clark
Newcastle United,Matt Ritchie, 30,/Players/68648/Show/Matt-Ritchie
Newcastle United,Jamaal Lascelles, 25,/Players/105171/Show/Jamaal-Lascelles
Newcastle United,Jetro Willems, 25,/Players/94885/Show/Jetro-Willems
Newcastle United,Jonjo Shelvey, 27,/Players/40027/Show/Jonjo-Shelvey
Newcastle United,Isaac Hayden, 24,/Players/136356/Show/Isaac-Hayden
Newcastle United,Sean Longstaff, 21,/Players/342811/Show/Sean-Longstaff
Newcastle United,Christian Atsu, 27,/Players/96257/Show/Christian-Atsu
Newcastle United,Paul Dummett, 28,/Players/112009/Show/Paul-Dummett
Newcastle United,Joelinton, 23,/Players/201755/Show/Joelinton
Newcastle United,Allan Saint-Maximin, 22,/Players/135891/Show/Allan-Saint-Maximin
Newcastle United,Javier Manquillo, 25,/Players/109227/Show/Javier-Manquillo
Newcastle United,Martin Dubravka, 30,/Players/46092/Show/Martin-Dubravka
Newcastle United,DeAndre Yedlin, 26,/Players/126958/Show/DeAndre-Yedlin
Newcastle United,Ki Sung-yueng, 30,/Players/42916/Show/Ki-Sung-yueng
Newcastle United,Andy Carroll, 30,/Players/23383/Show/Andy-Carroll
Newcastle United,Miguel Almirón, 25,/Players/303924/Show/Miguel-Almirón
Newcastle United,Federico Fernández, 30,/Players/44847/Show/Federico-Fernández
Newcastle United,Emil Krafth, 25,/Players/100599/Show/Emil-Krafth
Newcastle United,Yoshinori Muto, 27,/Players/132210/Show/Yoshinori-Muto
