CLUB,PLAYER,AGE,WEBSITE
Watford,Christian Kabasele, 28,/Players/68393/Show/Christian-Kabasele
Watford,Gerard Deulofeu, 25,/Players/98317/Show/Gerard-Deulofeu
Watford,Troy Deeney, 31,/Players/25832/Show/Troy-Deeney
Watford,Will Hughes, 24,/Players/108638/Show/Will-Hughes
Watford,Sebastian Prödl, 32,/Players/27349/Show/Sebastian-Prödl
Watford,Tom Cleverley, 30,/Players/69956/Show/Tom-Cleverley
Watford,Craig Cathcart, 30,/Players/25241/Show/Craig-Cathcart
Watford,Etienne Capoue, 31,/Players/33590/Show/Etienne-Capoue
Watford,José Holebas, 35,/Players/21499/Show/José-Holebas
Watford,Danny Welbeck, 28,/Players/39308/Show/Danny-Welbeck
Watford,Craig Dawson, 29,/Players/73063/Show/Craig-Dawson
Watford,Daryl Janmaat, 30,/Players/32323/Show/Daryl-Janmaat
Watford,Andre Gray, 28,/Players/131487/Show/Andre-Gray
Watford,Roberto Pereyra, 28,/Players/90000/Show/Roberto-Pereyra
Watford,Abdoulaye Doucouré, 26,/Players/116317/Show/Abdoulaye-Doucouré
Watford,Kiko Femenía, 28,/Players/75919/Show/Kiko-Femenía
Watford,Ben Foster, 36,/Players/11530/Show/Ben-Foster
Watford,Ismaila Sarr, 21,/Players/322670/Show/Ismaila-Sarr
Watford,Domingos Quina, 19,/Players/331582/Show/Domingos-Quina
Watford,Isaac Success, 23,/Players/145940/Show/Isaac-Success
Watford,Nathaniel Chalobah, 24,/Players/92729/Show/Nathaniel-Chalobah
Watford,Dimitri Foulquier, 26,/Players/101084/Show/Dimitri-Foulquier
Watford,Adrian Mariappa, 33,/Players/13805/Show/Adrian-Mariappa
Watford,Christian Kabasele, 28,/Players/68393/Show/Christian-Kabasele
Watford,Gerard Deulofeu, 25,/Players/98317/Show/Gerard-Deulofeu
Watford,Troy Deeney, 31,/Players/25832/Show/Troy-Deeney
Watford,Will Hughes, 24,/Players/108638/Show/Will-Hughes
Watford,Sebastian Prödl, 32,/Players/27349/Show/Sebastian-Prödl
Watford,Tom Cleverley, 30,/Players/69956/Show/Tom-Cleverley
Watford,Craig Cathcart, 30,/Players/25241/Show/Craig-Cathcart
Watford,Etienne Capoue, 31,/Players/33590/Show/Etienne-Capoue
Watford,José Holebas, 35,/Players/21499/Show/José-Holebas
Watford,Danny Welbeck, 28,/Players/39308/Show/Danny-Welbeck
Watford,Craig Dawson, 29,/Players/73063/Show/Craig-Dawson
Watford,Daryl Janmaat, 30,/Players/32323/Show/Daryl-Janmaat
Watford,Andre Gray, 28,/Players/131487/Show/Andre-Gray
Watford,Roberto Pereyra, 28,/Players/90000/Show/Roberto-Pereyra
Watford,Abdoulaye Doucouré, 26,/Players/116317/Show/Abdoulaye-Doucouré
Watford,Kiko Femenía, 28,/Players/75919/Show/Kiko-Femenía
Watford,Ben Foster, 36,/Players/11530/Show/Ben-Foster
Watford,Ismaila Sarr, 21,/Players/322670/Show/Ismaila-Sarr
Watford,Domingos Quina, 19,/Players/331582/Show/Domingos-Quina
Watford,Isaac Success, 23,/Players/145940/Show/Isaac-Success
Watford,Nathaniel Chalobah, 24,/Players/92729/Show/Nathaniel-Chalobah
Watford,Dimitri Foulquier, 26,/Players/101084/Show/Dimitri-Foulquier
Watford,Adrian Mariappa, 33,/Players/13805/Show/Adrian-Mariappa
