name,tm,nat,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Henrikh Mkhitaryan,Arsenal,am,30,M(CLR),177,75,19(6),1645,6,4,1,-,2,79.9,0.8,1,1.1,0.6,1.1,-,0.4,0.6,0.1,-,1.2,0.8,0.4,0.1,1,2,31.8,0.3,0.8,0.2
Matteo Guendouzi,Arsenal,fr,20,DMC,185,64,23(10),2144,-,-,9,-,0.5,87.7,0.5,-,1.3,0.9,0.7,0.1,0.7,0.9,0.2,-,0.5,0.7,1.9,-,0.9,0.9,48.4,-,2.4,0.2
Stephan Lichtsteiner,Arsenal,ch,35,"D(R),M(R)",182,76,10(4),941,-,-,3,-,0.1,78.5,1.6,-,1.1,0.6,0.8,0.5,1.6,0.5,0.3,-,0.2,0.3,0.7,0.1,0.9,0.9,34.3,0.1,1,-
Bernd Leno,Arsenal,de,27,GK,190,83,31(1),2833,-,-,-,-,-,69.2,0.2,-,-,0.1,-,-,1,0.1,-,-,-,-,0.2,-,-,-,28.8,-,4.9,-
Mohamed Elneny,Arsenal,eg,27,DMC,180,73,5(3),381,-,-,-,-,0.9,90.6,0.3,-,1.6,0.3,0.1,-,1,0.1,0.5,-,0.6,0.1,-,0.1,0.4,0.8,34.8,0.1,1.9,-
Granit Xhaka,Arsenal,ch,26,M(C),185,82,29,2502,4,2,10,-,1,85.3,1.8,4,1.8,1.2,1.6,0.2,1.9,1.2,0.3,-,1.4,0.2,1.8,-,0.6,0.6,77.4,1.1,5.5,0.1
Denis Suárez,Arsenal,es,25,AM(CLR),176,69,0(4),67,-,-,-,-,-,91.2,-,-,0.3,0.3,-,-,-,1.3,-,-,-,1,0.3,-,0.3,0.8,8.5,-,-,-
Aaron Ramsey,Arsenal,wls,28,M(CR),178,76,14(14),1331,4,6,-,-,1.2,82,0.5,-,1.2,0.3,0.8,-,0.1,0.6,-,-,0.9,0.4,0.7,0.1,1,1.3,27.6,0.2,0.9,-
Alex Iwobi,Arsenal,ng,23,AM(CLR),180,75,22(13),1976,3,6,-,-,1,77.8,0.1,-,0.8,0.3,0.2,-,0.3,0.5,-,-,1.1,1.3,0.4,0.1,1.6,2,27.2,0.3,0.8,-
Joe Willock,Arsenal,eng,19,AM(C),179,71,1(1),64,-,-,-,-,1,80,0.5,-,0.5,0.5,-,-,-,-,-,-,-,-,1,-,1,1.5,7.5,-,0.5,-
Eric Bailly,Manchester United,ci,25,D(CR),187,77,8(4),639,-,-,-,1,0.3,87.1,1.1,-,1.3,1.1,0.4,0.3,3.1,0.2,0.3,-,-,0.3,0.4,-,0.1,0.4,25.2,-,1.6,-
Romelu Lukaku,Manchester United,be,26,"AM(R),FW",190,93,22(10),2130,12,-,4,-,1.7,66.3,2.9,2,0.3,0.1,0.6,-,0.6,0.3,-,-,0.7,0.7,0.1,0.7,1.4,1.6,16.7,0.2,0.4,0.1
Matteo Darmian,Manchester United,it,29,"D(CLR),M(LR)",182,70,5(1),444,-,-,-,-,0.2,85.1,0.5,-,2.3,1.2,0.5,0.3,3.2,1.2,-,-,0.3,0.2,0.7,0.2,0.3,0.5,29.2,0.2,1.3,-
Ander Herrera,Manchester United,es,29,M(C),182,70,16(6),1405,2,3,4,-,1,87.8,0.2,2,2.5,1.7,1,-,1,1.8,0.3,-,0.7,0.5,0.9,-,0.4,0.6,44.5,-,1.5,0.1
Scott McTominay,Manchester United,sct,22,DMC,193,88,9(7),863,2,-,1,-,0.9,83.3,2.1,1,0.6,0.9,0.7,-,1,0.4,0.3,-,0.1,0.1,1,0.1,0.4,0.9,28.1,-,1.1,-
Chris Smalling,Manchester United,eng,29,D(CR),194,81,24,2128,1,-,1,-,0.5,86.2,4.3,1,1.3,1.1,0.9,0.5,4.4,0.3,1,1,0.1,-,0.3,0.1,-,0.3,39.8,-,2.1,-
Juan Mata,Manchester United,es,31,AM(CLR),170,63,16(6),1295,3,2,3,-,0.9,86,0.1,-,0.4,0.3,0.5,-,0.2,0.7,-,-,1.4,0.5,0.4,0.4,0.9,0.6,31.8,0.6,2.2,0.1
Mason Greenwood,Manchester United,eng,17,Forward,0,0,1(2),116,-,-,-,-,2.3,85,-,-,1,-,-,-,0.3,0.3,-,-,1,1,0.3,0.7,1,1,20,-,-,-
Fred,Manchester United,br,26,M(C),169,64,13(4),1045,1,1,2,-,1,86.3,0.2,1,1.7,0.9,1.5,0.1,0.5,1.1,0.1,-,0.7,0.6,1.1,0.1,1.1,1.2,45.2,0.3,3.5,0.1
Luke Shaw,Manchester United,eng,23,"D(L),M(L)",185,75,29,2592,1,4,11,-,0.7,83.3,1.7,2,1.9,0.7,1.4,0.1,2.8,0.7,0.4,-,1.1,0.9,0.6,-,0.5,1,57.2,0.5,1.6,0.1
Victor Lindelöf,Manchester United,se,24,D(CR),187,80,29(1),2602,1,1,1,-,0.3,89.2,2.3,-,1.3,0.8,0.6,0.7,3.9,0.3,0.4,1,0.2,0.3,0.5,-,0.1,0.4,49.7,-,2.1,-
Alexis Sánchez,Manchester United,cl,30,"M(CLR),FW",169,62,9(11),877,1,3,3,-,0.9,74.6,0.4,-,0.9,0.5,0.7,-,0.1,0.4,-,-,1.1,0.7,0.9,0.4,1.3,1.1,19.1,0.3,1.2,0.1
Andreas Pereira,Manchester United,br,23,AM(CLR),178,71,6(9),597,1,1,5,-,0.5,82.4,0.2,-,0.5,0.7,0.8,-,0.5,0.7,0.1,-,0.6,0.5,0.3,0.1,0.9,0.6,23.5,0.2,0.8,-
Tahith Chong,Manchester United,nl,19,Midfielder,185,75,0(2),37,-,-,-,-,1,80,-,-,-,-,-,-,0.5,-,-,-,-,0.5,1,-,0.5,0.5,7.5,-,-,-
Antonio Valencia,Manchester United,ec,33,"D(R),M(R)",180,83,5(1),466,-,-,2,-,0.3,84.1,0.5,-,1.3,0.8,1.2,-,1,0.2,-,-,1.2,0.5,0.7,-,0.2,-,45.2,0.8,1.8,-
Phil Jones,Manchester United,eng,27,"D(CR),DMC",180,71,15(3),1264,-,1,1,-,0.3,92.6,2.6,-,1.1,1.3,0.4,0.6,3.4,0.3,0.6,-,0.2,0.2,0.6,-,0.1,0.5,41.9,-,2.2,-
Marouane Fellaini,Manchester United,be,31,M(C),194,85,6(8),748,-,1,1,-,0.5,81.2,3.4,-,1.5,0.3,1.1,0.1,2.4,0.6,0.4,-,0.2,0.1,0.6,0.1,0.6,0.7,30.4,0.1,0.3,-
David de Gea,Manchester United,es,28,GK,192,76,38,3420,-,-,1,-,-,60,0.1,1,-,-,-,-,0.6,0.1,-,-,-,-,0.1,-,-,-,24.9,-,7.9,-
Jesse Lingard,Manchester United,eng,26,AM(CLR),175,62,19(8),1670,4,2,3,-,1.2,85.7,0.2,1,1.1,0.4,1,-,0.2,0.8,0.1,-,0.6,0.5,0.9,0.3,0.7,1.6,28.2,0.1,0.3,0.1
James Garner,Manchester United,eng,18,Midfielder,0,0,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Anthony Martial,Manchester United,fr,23,"AM(LR),FW",181,76,18(9),1624,10,2,2,-,1.4,79.3,0.7,2,0.3,0.1,0.5,-,0.3,0.4,-,-,1.3,1.2,1,0.2,1.2,1.7,26.2,0.1,0.1,0.1
Nemanja Matic,Manchester United,rs,30,DMC,194,85,28,2441,1,-,6,1,0.4,86.9,2,-,1.8,1.1,1,-,1.9,1,0.6,-,0.5,0.6,0.7,-,1.4,0.9,65.6,0.1,3.9,-
Diogo Dalot,Manchester United,pt,20,"D(LR),M(R)",183,76,12(4),1015,-,2,3,-,0.9,70.9,1.4,-,1.5,0.6,0.8,0.4,1.9,0.3,0.1,-,1.1,0.7,0.1,0.1,0.3,0.6,26.4,0.9,0.6,-
Angel Gomes,Manchester United,eng,18,Midfielder,161,61,0(2),25,-,-,-,-,1,95.2,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,0.5,-,10.5,-,0.5,-
Ashley Young,Manchester United,eng,34,"D(LR),M(LR)",175,65,28(2),2569,2,2,8,1,0.4,77.5,0.8,-,1.7,1.8,1.2,0.3,1.9,0.6,0.3,-,1.3,0.6,1.1,0.1,0.6,0.8,45.9,1.4,3.7,-
Marcos Rojo,Manchester United,ar,29,D(CL),187,85,2(3),211,-,-,2,-,1.2,72.6,0.6,-,1,1.2,0.6,0.6,1.8,1,0.4,1,-,0.2,0.2,-,-,0.2,24.8,-,1.6,-
Paul Pogba,Manchester United,fr,26,M(C),191,84,34(1),3012,13,9,6,-,3,82.8,1.7,7,1.3,0.5,1.5,-,1,0.7,0.3,-,1.6,1.7,2,0.1,2.5,2.1,59.1,0.1,4.7,0.2
Marcus Rashford,Manchester United,eng,21,"AM(LR),FW",180,70,26(7),2345,10,6,3,1,2.5,78.1,0.9,3,0.7,0.1,0.8,-,0.7,0.7,-,-,1.2,1.3,1.6,0.5,1.4,2.5,20.2,0.3,0.5,-
Diogo Jota,Wolverhampton Wanderers,pt,22,"AM(CL),FW",178,70,29(4),2372,9,5,11,-,1.8,75.6,0.8,3,0.8,0.4,1.3,-,0.3,0.8,-,-,0.8,1.7,1.7,0.2,1.5,2.3,22.6,0.2,0.5,0.1
João Moutinho,Wolverhampton Wanderers,pt,32,M(C),170,61,35(3),3040,1,8,4,-,0.5,84.8,0.6,1,3,1.1,1.4,-,1.1,2.2,0.3,-,2.2,0.3,1,-,0.7,0.4,49,1.7,3.3,-
Leander Dendoncker,Wolverhampton Wanderers,be,24,DMC,188,76,17(2),1469,2,-,1,-,0.9,79.4,2.9,2,2.8,1.2,0.6,0.1,1.5,1.6,0.3,-,0.4,0.6,0.6,0.1,0.4,0.9,31.9,0.1,0.8,-
Rui Patrício,Wolverhampton Wanderers,pt,31,GK,190,84,37,3330,-,-,-,-,-,53.6,0.2,-,0.1,-,-,-,0.4,-,-,-,-,-,-,-,-,-,20.5,-,6.9,-
Max Kilman,Wolverhampton Wanderers,,22,Defender,0,0,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Will Norris,Wolverhampton Wanderers,eng,25,Goalkeeper,195,74,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morgan Gibbs-White,Wolverhampton Wanderers,eng,19,AM(C),171,0,5(21),651,-,1,1,-,0.3,83.9,0.5,-,0.2,-,0.3,-,-,0.1,-,-,0.4,0.5,0.2,0.1,0.6,0.9,12.2,0.2,0.8,0.1
Jonny,Wolverhampton Wanderers,es,25,"D(CLR),M(L)",175,70,32(1),2780,1,1,6,-,0.8,77.8,1.2,1,2.4,1.8,0.7,0.2,1.6,0.9,0.2,-,0.9,0.9,1,0.2,1.2,1.2,32.6,0.3,1,-
Rúben Neves,Wolverhampton Wanderers,pt,22,DMC,180,72,34(1),3009,4,3,8,-,2.1,81.2,0.9,-,2.1,2.1,1.1,-,1.3,1.6,0.5,-,0.7,0.3,0.5,-,0.8,0.8,55.4,0.1,6.1,-
Hélder Costa,Wolverhampton Wanderers,pt,25,AM(CLR),178,73,16(9),1346,1,2,3,-,1,81.4,0.4,-,0.7,0.4,0.8,-,0.2,0.6,-,-,0.7,1,0.9,0.2,1.7,1.9,17.7,0.1,0.4,-
Raúl Jiménez,Wolverhampton Wanderers,mx,28,FW,190,76,36(2),3125,13,7,4,-,2.9,72.8,2.1,4,0.8,0.7,1.1,-,1,0.4,0.1,-,1.1,0.9,1,0.9,1.8,2.5,27.9,0.2,0.9,0.1
Willy Boly,Wolverhampton Wanderers,fr,28,D(C),195,92,36,3169,4,-,2,1,0.7,81,3.8,2,2.4,2,0.8,0.1,4.8,0.6,0.9,-,0.3,0.4,0.4,0.1,0.4,0.3,47.6,-,2.4,-
Ivan Cavaleiro,Wolverhampton Wanderers,pt,25,"AM(CLR),FW",175,73,6(17),687,3,1,1,-,0.6,75.5,0.4,-,0.2,0.2,0.6,-,0.2,0.6,-,-,0.8,0.7,0.2,0.3,0.8,1.1,12.8,0.7,0.1,-
Rúben Vinagre,Wolverhampton Wanderers,pt,20,M(L),174,64,7(10),706,-,-,1,-,0.2,77.3,0.5,-,0.8,0.8,0.7,0.1,0.8,0.2,0.1,-,0.4,0.8,0.5,0.1,0.7,1.1,16.8,0.4,0.5,-
Adama Traoré,Wolverhampton Wanderers,es,23,"AM(R),FW",178,72,8(21),896,1,1,1,-,0.7,72.2,0.8,1,0.6,0.2,0.5,-,0.2,0.2,-,-,0.6,2.2,0.9,0.2,1.6,1.3,9.3,0.5,0.2,-
Ryan Bennett,Wolverhampton Wanderers,eng,29,D(C),188,70,34,3060,1,-,12,-,0.4,79.6,3.6,-,1.7,1.3,1.1,0.2,3.6,0.5,0.6,-,0.3,0.1,0.3,-,-,0.1,39.6,-,2,-
Matt Doherty,Wolverhampton Wanderers,ie,27,"D(LR),M(R)",182,80,35(3),3147,4,5,5,-,1.2,71.6,3.8,2,1.8,1.6,0.8,0.1,2.2,0.6,0.2,1,1,0.5,0.6,0.1,0.6,1.2,36.8,0.4,1.4,0.1
Conor Coady,Wolverhampton Wanderers,eng,26,"D(CR),DMC",185,73,38,3420,-,-,5,-,-,84.3,0.9,1,0.8,0.8,0.3,0.5,3.3,0.4,0.7,3,0.1,0.1,0.2,-,0.1,0.2,44.4,-,6.4,-
Romain Saïss,Wolverhampton Wanderers,ma,29,"D(C),DMC",190,80,12(7),1145,2,-,7,-,0.6,77.1,3.2,2,2.1,1.4,1.4,0.1,3.1,0.9,0.6,-,0.2,0.3,0.4,-,0.1,0.1,38.8,0.1,3.2,-
Léo Bonatini,Wolverhampton Wanderers,br,25,FW,185,80,0(7),130,-,1,-,-,1.3,78.9,0.1,-,0.1,-,-,-,-,0.6,-,-,0.3,0.1,-,-,0.6,0.6,8.1,-,0.3,-
John Ruddy,Wolverhampton Wanderers,eng,32,GK,193,97,1,90,-,-,-,-,-,68.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,9,-
Seamus Coleman,Everton,ie,30,"D(R),M(R)",177,67,29,2560,2,2,1,-,0.5,78.1,1.6,-,1.5,0.9,0.8,0.2,2.6,0.4,0.2,1,0.8,0.7,0.7,0.1,0.8,1.5,41.2,0.6,1.4,-
Cenk Tosun,Everton,tr,28,FW,183,78,10(15),1050,3,3,3,-,1.5,70.5,1.5,-,0.5,0.2,0.7,-,0.1,0.4,-,-,0.5,0.1,0.6,0.3,0.8,1.6,10.3,-,0.3,-
Yerry Mina,Everton,co,24,D(C),195,94,10(3),893,1,-,3,-,0.3,84.1,2.9,-,1.1,0.6,1,0.5,3.8,0.2,0.4,-,0.2,-,0.4,0.1,0.2,0.5,38.8,-,2.8,-
Kurt Zouma,Everton,fr,24,D(CR),190,96,29(3),2613,2,2,3,1,0.6,83.6,3.1,-,1,1.7,0.6,0.6,3.8,0.2,0.4,-,0.2,0.2,0.5,0.1,0.4,0.5,45.1,-,3.2,-
Bernard,Everton,br,26,AM(L),166,57,25(9),2129,1,3,5,-,0.7,75.3,0.1,-,1.4,0.8,0.5,-,0.4,1.2,0.1,-,1.2,1.2,0.8,0.1,1.2,2.2,23.7,0.4,0.5,0.1
James McCarthy,Everton,ie,28,M(C),180,72,0(1),14,-,-,-,-,-,100,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-
Oumar Niasse,Everton,sn,29,FW,182,75,0(5),58,-,-,-,-,0.6,59.1,0.6,-,-,-,0.6,-,-,0.2,-,-,0.2,0.2,0.2,0.2,1.2,0.6,4.4,-,-,-
Dominic Calvert-Lewin,Everton,eng,22,"AM(L),FW",176,71,19(16),1776,6,2,3,-,1.5,61.7,3.2,-,0.4,0.2,1,-,0.5,0.2,0.1,-,0.3,0.6,0.9,0.2,1.2,1.9,12.2,0.1,0.3,-
Michael Keane,Everton,eng,26,D(CR),191,82,33,2970,1,2,2,-,0.9,80.8,5.8,2,1.2,1.3,0.7,0.8,5.5,0.4,0.7,-,0.3,0.2,0.2,-,0.1,0.3,48.3,-,3.1,-
Jonjoe Kenny,Everton,eng,22,D(R),176,67,8(2),790,-,1,1,-,0.3,72,2.3,-,2.1,1.7,1,0.7,3,0.8,0.2,-,0.6,0.5,0.1,-,0.9,0.7,42.8,0.4,1.8,-
Leighton Baines,Everton,eng,34,"D(L),M(L)",170,74,5(1),376,-,-,-,-,0.3,82.2,0.3,-,1.3,0.3,0.3,-,1.2,0.3,-,-,0.7,-,0.2,0.2,0.2,0.2,31.8,1,1.2,-
Tom Davies,Everton,eng,21,M(C),180,70,10(6),976,-,-,3,-,0.4,80,0.5,-,1.7,1,1.3,-,0.6,1,0.1,-,0.3,0.8,1.1,0.1,0.5,1.7,31.6,-,1.9,0.1
André Gomes,Everton,pt,25,M(CLR),188,84,24(3),1986,1,1,7,-,0.8,84.8,1.4,-,1.4,0.7,1.8,-,0.7,1.7,0.1,-,0.2,1.5,1,-,1.9,1.3,44.4,0.1,3.5,-
Ademola Lookman,Everton,eng,21,"AM(CLR),FW",174,78,3(18),602,-,2,-,-,0.6,84.6,0.3,-,0.7,0.3,0.4,-,0.1,0.1,-,-,0.5,1.1,1,0.1,1.2,0.9,12,0.2,0.1,-
Gylfi Sigurdsson,Everton,is,29,"M(CLR),FW",186,79,36(2),3134,13,6,3,-,2.3,76.2,0.5,6,1.5,0.7,0.9,-,0.6,0.8,0.1,-,1.9,1,1,0.1,0.8,2.1,26.1,1.3,0.7,0.3
Phil Jagielka,Everton,eng,36,D(CR),180,87,4(3),330,1,-,-,1,0.1,74.5,2,-,1,0.3,0.3,0.6,1.9,0.4,-,-,0.3,-,0.4,-,-,0.3,27.4,-,1.6,-
Jordan Pickford,Everton,eng,25,GK,185,77,38,3420,-,-,1,-,-,55.7,0.3,2,-,-,-,-,0.9,-,-,-,-,-,0.1,-,-,0.1,29.4,-,7.5,-
Theo Walcott,Everton,eng,30,"M(CLR),FW",176,68,24(13),2124,5,2,1,-,1.2,72.6,0.4,-,0.7,0.6,0.3,-,0.2,0.4,-,-,0.6,0.8,0.7,0.5,1,2.1,15.6,0.3,0.2,-
Mason Holgate,Everton,eng,22,"D(CR),M(R)",184,63,4(1),407,-,-,1,-,-,76.7,2.8,-,1,0.6,0.4,1,6.2,-,0.4,-,-,0.4,1.4,0.2,0.4,0.2,50.6,-,5.2,-
Morgan Schneiderlin,Everton,fr,29,DMC,181,75,10(4),835,-,1,2,-,0.2,88.6,1.4,1,1.7,1.1,1.5,-,1.1,0.6,0.2,-,0.6,0.1,0.5,-,0.5,0.9,38.9,0.1,1.9,0.1
Richarlison,Everton,br,22,"AM(CLR),FW",179,71,32(3),2679,13,1,5,1,2.4,68.5,2,3,1.4,0.5,0.9,-,1.1,0.5,0.1,-,0.6,1.1,2.1,0.5,2.6,3.2,22.7,0.1,0.6,-
Idrissa Gueye,Everton,sn,29,M(C),174,66,32(1),2826,-,2,6,-,0.6,84.3,1,2,4.3,2.2,1.6,-,1.3,1.2,0.2,-,0.5,0.7,1.2,-,0.9,1,52.8,0.1,3.2,0.1
Lucas Digne,Everton,fr,25,D(L),178,74,33(2),2966,4,4,5,1,1,76,2.6,4,2,1.7,1.1,0.3,2.7,0.5,0.3,1,2,0.4,0.9,0.1,0.9,0.9,41.6,2.4,1.7,-
Rachid Ghezzal,Leicester,dz,27,AM(CLR),182,70,8(11),739,1,-,3,-,1,79.4,0.5,-,0.7,0.4,0.7,-,0.2,0.8,0.1,-,0.8,1,0.4,-,1.1,1.2,22.2,0.8,1,0.1
Nampalys Mendy,Leicester,fr,27,M(C),167,73,23(8),2089,-,-,5,-,0.1,88.8,0.3,-,1.1,0.8,0.7,-,0.7,0.5,0.3,-,0.2,0.5,1.2,-,0.5,1,35.2,0.1,1.6,-
Shinji Okazaki,Leicester,jp,33,"AM(CLR),FW",174,70,1(20),271,-,1,-,-,0.2,74.5,0.4,-,0.2,0.1,0.3,-,-,-,-,-,-,0.1,0.2,0.1,0.3,0.9,4.5,-,0.1,-
Marc Albrighton,Leicester,eng,29,M(LR),175,74,18(9),1627,2,2,3,-,0.7,65.9,0.6,-,1.3,0.9,0.4,-,0.9,0.7,0.1,-,1.1,0.7,0.7,0.1,0.9,1.3,23,0.8,1.7,-
Fousseni Diabaté,Leicester,ml,23,"AM(R),FW",175,60,1,55,-,-,-,-,-,57.1,1,-,2,-,-,-,-,1,-,-,1,-,1,1,-,1,14,1,-,-
Adrien Silva,Leicester,pt,30,M(C),175,69,1(1),88,-,-,-,-,-,86.1,-,-,1,0.5,-,-,0.5,1,-,-,-,0.5,1,-,1.5,1.5,39.5,-,3.5,-
Wes Morgan,Leicester,jm,35,D(C),186,101,21(1),1926,3,-,1,2,0.6,80.8,4.2,1,1.2,1.5,0.8,0.7,4.7,-,0.5,-,0.1,0.1,0.3,0.1,-,0.6,40.5,-,1.6,-
Vicente Iborra,Leicester,es,31,M(C),190,91,3(5),226,-,-,-,-,0.3,86.4,1,-,0.4,1,0.8,-,0.4,0.9,-,-,0.1,-,0.1,-,0.5,-,18.4,-,2.1,0.1
Danny Simpson,Leicester,ie,32,D(R),176,80,3(3),291,-,-,-,-,-,70.9,1.3,-,1.8,1,0.3,-,2.5,0.3,0.5,-,0.2,-,-,-,0.3,0.2,18.3,-,1.2,-
Harvey Barnes,Leicester,eng,21,AM(CL),174,66,11(5),1010,1,2,-,-,2.5,77.2,0.4,-,0.6,0.2,0.4,-,0.3,0.1,0.1,-,1.1,1.9,0.4,0.1,0.9,1.8,19.4,0.2,0.1,-
Harry Maguire,Leicester,eng,26,D(C),194,100,31,2599,3,-,6,1,1,85.6,3.8,2,1,1.2,0.6,0.8,4.9,0.2,0.6,-,0.4,0.5,0.5,0.1,0.2,0.7,56.4,-,6.2,-
Çaglar Söyüncü,Leicester,tr,23,D(C),185,82,4(2),372,-,-,1,-,0.3,83.6,2.7,-,0.8,1.2,1.5,1,3.7,0.5,0.8,-,-,0.3,0.3,-,0.2,0.3,36.7,0.2,1.2,-
Kasper Schmeichel,Leicester,dk,32,GK,189,89,38,3420,-,-,3,-,-,65.5,0.3,-,-,0.1,-,-,0.8,-,-,-,-,-,0.1,-,-,-,29.4,-,9.2,-
Demarai Gray,Leicester,eng,23,"AM(CLR),FW",180,74,23(11),1996,4,1,2,-,1.4,77.6,0.3,-,0.7,0.3,0.4,-,0.4,0.3,-,-,0.5,1.2,0.4,0.1,1.1,1.7,19.3,0.1,0.6,-
Youri Tielemans,Leicester,be,22,M(C),176,72,13,1092,3,4,2,-,2.4,85,0.9,-,1.3,0.4,0.8,-,0.8,0.9,0.2,-,1.2,0.9,1.2,-,1.2,1.4,49.3,0.2,3.4,0.5
Jamie Vardy,Leicester,eng,32,"AM(L),FW",179,74,30(4),2733,18,4,3,1,2.3,65.6,2,3,0.4,0.2,0.6,-,0.8,0.4,-,-,0.9,0.4,0.6,1.1,0.6,1.5,12.2,0.2,0.2,-
Wilfred Ndidi,Leicester,ng,22,DMC,183,74,37(1),3299,2,-,8,-,1.4,79.9,3.4,3,3.8,2.2,1.2,0.1,2.1,1.3,0.2,-,0.6,0.9,0.6,0.1,0.9,1.5,52.2,-,2.4,0.1
Ricardo Pereira,Leicester,pt,25,"D(LR),M(R)",175,70,35,3125,2,6,7,-,0.7,78,1.9,4,3.4,1.7,1.2,0.2,3,1.7,0.2,-,0.9,1.9,1.4,0.1,1,1.5,43.8,0.4,1.2,-
Daniel Amartey,Leicester,gh,24,"D(R),DMC",186,79,7(2),641,-,-,2,-,0.4,85.2,1.6,-,2,1.8,0.7,0.2,2.8,0.6,0.4,-,0.3,0.2,0.1,0.1,0.4,0.3,41.2,-,2.2,-
Christian Fuchs,Leicester,at,33,"D(CL),M(L)",187,89,2(1),206,-,-,-,-,0.7,83.1,1,-,1.3,1.3,1,0.3,2.3,0.3,-,-,2,0.3,0.7,-,0.3,1.3,39.3,1.3,2.3,-
Hamza Choudhury,Leicester,eng,21,M(C),178,64,7(2),597,-,-,-,-,0.4,84.6,0.6,-,2.7,1.7,0.8,-,1.3,0.7,0.3,-,0.6,0.2,0.2,-,0.2,0.8,26.7,0.1,1.1,-
Jonny Evans,Leicester,nir,31,D(CL),188,77,21(3),1995,1,-,2,-,0.5,84.7,3,-,1,1.4,0.9,0.8,6.1,0.2,0.4,-,0.2,-,0.7,-,0.2,0.3,42.9,-,2.8,-
Ben Chilwell,Leicester,eng,22,"D(L),M(L)",178,77,36,3240,-,4,4,-,0.6,72.3,3.1,4,1.5,1.1,0.9,0.3,3.6,0.9,0.2,-,1.3,1.4,1.2,0.1,1.3,2,46.8,0.6,1.2,-
Kelechi Iheanacho,Leicester,ng,22,"AM(C),FW",185,82,9(21),931,1,3,2,-,0.6,76.4,0.5,-,0.2,0.1,0.5,-,0.1,0.1,-,-,0.4,0.3,0.2,0.3,0.7,1,9.2,-,0.2,0.1
James Maddison,Leicester,eng,22,AM(CLR),175,73,35(1),2850,7,7,3,1,2.3,83.8,0.3,3,1.3,0.3,0.7,-,0.1,1.2,0.1,-,2.8,1.4,2.2,0.1,1.1,1.3,39,1.9,2.2,0.3
Grady Diangana,West Ham,eng,21,M(R),180,73,6(11),608,-,1,-,-,0.6,77.9,0.4,-,1.2,0.1,0.2,0.1,0.2,0.5,-,-,0.7,1.2,0.6,0.1,1.1,1.6,14.4,0.2,0.2,-
Marko Arnautovic,West Ham,at,30,"AM(CLR),FW",192,83,24(4),2001,10,4,3,-,2.2,74.7,0.9,2,0.3,0.1,1.1,-,0.2,0.2,0.1,-,1.3,0.7,0.4,0.8,1.1,1.7,22.9,0.2,0.4,0.1
Carlos Sánchez,West Ham,co,33,"D(C),M(C)",182,80,2(5),240,-,-,-,-,0.4,88.8,0.1,-,0.6,0.1,0.4,-,0.7,0.7,-,-,0.3,0.4,0.1,-,0.3,0.1,20.4,-,1.9,-
Samir Nasri,West Ham,fr,32,M(CLR),175,75,3(2),246,-,2,-,-,0.6,88.4,-,-,-,0.2,0.6,-,0.2,-,-,-,1.2,0.4,0.4,0.6,-,-,31,0.2,1.4,-
Andy Carroll,West Ham,eng,30,FW,193,79,3(9),456,-,-,2,-,1.2,61,3.8,-,0.3,0.1,0.9,0.1,0.7,0.3,0.2,-,0.3,0.3,0.7,0.3,0.7,1.3,11.3,-,0.4,-
Lucas Pérez,West Ham,es,30,"AM(CR),FW",180,82,4(11),469,3,-,-,-,0.6,70.6,0.2,-,0.4,0.1,0.3,-,0.2,0.1,-,-,0.5,0.3,0.2,0.2,0.5,1,9.5,0.1,0.1,-
Robert Snodgrass,West Ham,sct,31,AM(CLR),182,82,25(8),2224,2,5,10,-,0.9,82.1,0.8,3,1.3,0.3,1.1,0.1,0.5,1,0.1,-,1.8,1,1.5,0.1,1.3,1.8,29.4,1.8,0.8,0.1
Ben Johnson,West Ham,eng,19,Midfielder,175,67,1,63,-,-,-,-,-,78.6,-,-,1,1,-,2,3,1,-,-,-,-,-,-,-,1,14,-,-,-
Andriy Yarmolenko,West Ham,ua,29,AM(R),189,81,5(4),461,2,-,2,-,1,82.3,0.3,-,0.4,0.2,0.9,-,0.3,0.2,0.1,-,0.6,0.2,0.9,0.1,1.2,1.3,22.6,-,0.9,-
Mark Noble,West Ham,eng,32,M(C),180,70,29(2),2308,5,5,6,1,0.5,85.3,0.3,-,1.5,0.7,0.7,-,0.4,1.2,0.1,-,0.7,0.5,1.2,-,1.1,0.9,48.6,0.2,4.4,0.2
Chicharito,West Ham,mx,31,FW,175,73,14(11),1339,7,1,2,-,1.5,71.1,0.5,-,0.1,-,0.4,-,0.3,0.2,-,-,0.2,0.5,1.4,0.4,0.4,1.2,12.9,-,0.4,0.1
